ID,Block,Trial,TargetPosition,DistractorPosition,fix_x,fix_y
801,1,2,10,5,380,203
801,1,2,10,5,375,187
801,1,8,9,3,610,191
801,1,8,9,3,652,195
801,1,9,11,2,477,389
801,1,9,11,2,179,432
801,1,9,11,2,238,417
801,1,9,11,2,238,384
801,1,9,11,2,235,412
801,1,9,11,2,230,391
801,1,9,11,2,232,408
801,1,10,11,1,234,339
801,1,10,11,1,233,357
801,1,10,11,1,235,370
801,1,10,11,1,241,396
801,1,10,11,1,246,413
801,1,10,11,1,241,407
801,1,10,11,1,234,401
801,1,10,11,1,235,403
801,1,10,11,1,231,380
801,1,10,11,1,230,381
801,1,10,11,1,225,384
801,1,10,11,1,221,370
801,1,11,9,3,605,152
801,1,11,9,3,641,147
801,1,15,12,5,335,644
801,1,15,12,5,378,657
801,1,16,8,5,831,392
801,1,16,8,5,795,428
801,1,17,12,6,369,608
801,1,17,12,6,380,639
801,1,19,12,4,432,403
801,1,19,12,4,357,582
801,1,19,12,4,379,627
801,2,1,3,12,314,653
801,2,1,3,12,347,646
801,2,1,3,12,342,645
801,2,1,3,12,481,389
801,2,1,3,12,341,601
801,2,1,3,12,285,534
801,2,1,3,12,349,640
801,2,1,3,12,363,648
801,2,1,3,12,505,655
801,2,1,3,12,540,307
801,2,1,3,12,495,174
801,2,1,3,12,399,590
801,2,1,3,12,371,645
801,2,1,3,12,513,412
801,2,1,3,12,524,396
801,2,1,3,12,669,337
801,2,1,3,12,723,300
801,2,1,3,12,545,387
801,2,1,3,12,718,306
801,2,1,3,12,731,295
801,2,1,3,12,537,357
801,2,1,3,12,712,313
801,2,1,3,12,722,302
801,2,1,3,12,549,381
801,2,1,3,12,540,394
801,2,1,3,12,744,300
801,2,1,3,12,554,413
801,2,1,3,12,541,388
801,2,2,3,9,545,303
801,2,2,3,9,535,392
801,2,2,3,9,640,394
801,2,2,3,9,745,338
801,2,2,3,9,575,381
801,2,3,2,9,553,426
801,2,3,2,9,779,569
801,2,3,2,9,763,557
801,2,4,1,11,378,389
801,2,4,1,11,232,395
801,2,4,1,11,517,460
801,2,4,1,11,547,677
801,2,4,1,11,522,664
801,2,6,3,7,547,405
801,2,6,3,7,751,337
801,2,7,5,10,425,219
801,2,7,5,10,399,192
801,2,7,5,10,339,297
801,2,7,5,10,499,409
801,2,7,5,10,511,404
801,2,9,3,7,541,414
801,2,9,3,7,729,338
801,2,9,3,7,742,326
801,2,9,3,7,558,392
801,2,10,2,7,546,431
801,2,10,2,7,757,548
801,2,10,2,7,752,556
801,2,10,2,7,559,418
801,2,11,3,10,557,399
801,2,11,3,10,763,328
801,2,11,3,10,751,311
801,2,12,2,10,489,331
801,2,12,2,10,545,386
801,2,12,2,10,756,545
801,2,12,2,10,544,400
801,2,15,2,9,544,414
801,2,15,2,9,766,573
801,2,15,2,9,753,561
801,2,18,4,7,503,393
801,2,18,4,7,503,232
801,2,18,4,7,518,180
801,3,1,1,12,350,693
801,3,1,1,12,369,654
801,3,1,1,12,541,423
801,3,1,1,12,512,426
801,3,1,1,12,545,657
801,3,1,1,12,526,665
801,3,1,1,12,510,476
801,3,4,4,12,522,193
801,3,4,4,12,516,394
801,3,5,6,12,492,418
801,3,5,6,12,284,547
801,3,5,6,12,327,527
801,3,6,6,9,513,441
801,3,6,6,9,291,547
801,3,6,6,9,308,547
801,3,7,6,12,506,454
801,3,7,6,12,347,537
801,3,7,6,12,323,553
801,3,8,4,7,516,392
801,3,8,4,7,520,208
801,3,13,2,11,514,414
801,3,13,2,11,552,432
801,3,13,2,11,726,513
801,3,13,2,11,736,520
801,3,13,2,11,569,440
801,3,14,5,7,499,408
801,3,14,5,7,324,274
801,3,14,5,7,519,420
801,3,15,5,7,526,424
801,3,15,5,7,299,300
801,3,15,5,7,317,296
801,3,15,5,7,512,414
801,3,16,1,8,534,427
801,3,16,1,8,523,651
801,3,16,1,8,536,640
801,3,16,1,8,531,462
801,3,17,3,12,540,403
801,3,17,3,12,724,329
801,3,17,3,12,562,412
801,3,20,5,12,509,388
801,3,20,5,12,325,292
801,3,20,5,12,485,379
801,4,1,11,2,206,387
801,4,1,11,2,247,392
801,4,1,11,2,478,392
801,4,3,8,1,787,423
801,4,3,8,1,814,445
801,4,4,8,2,831,430
801,4,5,12,5,440,477
801,4,5,12,5,376,594
801,4,5,12,5,400,635
801,4,6,9,4,654,101
801,4,6,9,4,682,152
801,4,8,7,4,590,403
801,4,8,7,4,685,568
801,4,8,7,4,670,639
801,4,9,8,4,815,411
801,4,9,8,4,804,422
801,4,10,12,3,373,639
801,4,12,12,4,419,639
801,4,12,12,4,384,674
801,4,14,7,1,567,516
801,4,14,7,1,658,661
801,4,18,10,2,359,139
801,4,19,11,5,209,381
801,4,19,11,5,225,380
801,5,1,11,4,216,408
801,5,1,11,4,260,388
801,5,2,12,6,385,625
801,5,2,12,6,400,627
801,5,3,10,3,417,165
801,5,3,10,3,404,177
801,5,4,9,1,698,153
801,5,4,9,1,685,160
801,5,5,11,4,235,377
801,5,5,11,4,253,385
801,5,6,11,6,253,371
801,5,7,9,5,677,171
801,5,9,7,4,650,595
801,5,9,7,4,663,604
801,5,11,10,5,390,157
801,5,11,10,5,401,161
801,5,12,8,2,679,335
801,5,12,8,2,803,393
801,5,12,8,2,810,371
801,5,13,9,2,688,128
801,5,14,10,4,397,151
801,5,15,12,5,389,685
801,5,15,12,5,373,645
801,5,15,12,5,384,615
801,6,2,5,7,635,579
801,6,2,5,7,449,350
801,6,2,5,7,299,293
801,6,2,5,7,483,358
801,6,5,3,7,533,376
801,6,5,3,7,698,291
801,6,5,3,7,728,288
801,6,5,3,7,538,357
801,6,10,3,12,557,355
801,6,10,3,12,725,258
801,6,10,3,12,742,263
801,6,10,3,12,569,331
801,6,11,6,11,489,366
801,6,11,6,11,318,515
801,6,11,6,11,349,513
801,6,12,1,8,527,393
801,6,12,1,8,521,560
801,6,12,1,8,523,598
801,6,12,1,8,512,431
801,6,20,4,11,547,358
801,6,20,4,11,558,187
801,6,20,4,11,540,368
801,7,1,4,12,526,367
801,7,1,4,12,537,187
801,7,1,4,12,526,389
801,7,2,5,12,501,375
801,7,2,5,12,339,316
801,7,2,5,12,483,392
801,7,2,5,12,512,388
801,7,3,3,8,562,338
801,7,3,3,8,734,275
801,7,3,3,8,551,348
801,7,6,2,10,440,254
801,7,6,2,10,566,413
801,7,6,2,10,734,504
801,7,6,2,10,550,381
801,7,7,5,12,511,356
801,7,7,5,12,362,333
801,7,7,5,12,522,379
801,7,8,3,8,546,337
801,7,8,3,8,735,280
801,7,8,3,8,748,283
801,7,8,3,8,581,336
801,7,11,1,11,530,390
801,7,11,1,11,526,600
801,7,11,1,11,520,422
801,7,13,5,10,510,357
801,7,13,5,10,315,317
801,7,13,5,10,335,291
801,7,13,5,10,514,380
