latitude,longitude
44.049659,-123.073163
44.049675,-123.07302
44.049675,-123.072882
44.049667,-123.072731
44.049663,-123.072586
44.049658,-123.072428
44.049654,-123.072282
44.049663,-123.072143
44.049702,-123.072012
44.049764,-123.071903
44.049833,-123.071802
44.049876,-123.071674
44.04988,-123.071527
44.049916,-123.071389
44.049954,-123.071253
44.049976,-123.071109
44.049978,-123.070966
44.049984,-123.070825
44.049983,-123.070682
44.049978,-123.070544
44.04998,-123.070403
44.049945,-123.070259
44.049893,-123.070127
44.049826,-123.070022
44.049753,-123.069941
44.049652,-123.069908
44.049559,-123.069892
44.049461,-123.06988
44.049364,-123.069889
44.049258,-123.06988
44.049165,-123.069875
44.049071,-123.069865
44.048971,-123.069822
44.048872,-123.06983
44.048767,-123.069888
44.048669,-123.069939
44.048579,-123.069935
44.048486,-123.069952
44.048379,-123.06995
44.048269,-123.069937
44.04817,-123.069954
44.048062,-123.069975
44.047965,-123.069981
44.047858,-123.069978
44.04776,-123.069969
44.047669,-123.069972
44.047576,-123.069976
44.047465,-123.069973
44.047358,-123.069956
44.047241,-123.069963
44.047124,-123.069968
44.047026,-123.069973
44.046929,-123.069963
44.046862,-123.069965
44.046424,-123.070036
44.046338,-123.069981
44.046241,-123.069966
44.046121,-123.069935
44.046011,-123.069926
44.045908,-123.069941
44.045813,-123.069957
44.045711,-123.069956
44.045592,-123.069934
44.045471,-123.069901
44.045359,-123.069898
44.04526,-123.069908
44.045163,-123.069918
44.045072,-123.069925
44.044982,-123.069926
44.044881,-123.06991
44.044788,-123.069903
44.044691,-123.069894
44.044593,-123.069885
44.044475,-123.069893
44.044376,-123.069888
44.044137,-123.069923
44.043945,-123.069961
44.043837,-123.069998
44.043655,-123.069958
44.043546,-123.0699
44.043442,-123.069893
44.043349,-123.069909
44.043256,-123.069917
