name    count_2012
Adahli  32
Adahlia 39
Adai    12
Adaia   47
Adaiah  161
Adaija  40
Adaijah 92
Adair   3455
Adaira  148
Adaire  52
Adairis 5
Adaisha 153
Adaisia 9
Adaja   124
Adajah  82
Adaku   15
Adala   28
Adalae  70
Adalai  53
Adalaide    245
Adalay  67
Adalaya 11
Adalayde    8
Adale   12
Adalea  30
Adaleah 27
Adalee  1371
Adaleen 53
Adaleena    17
Adalei  75
Adaleigh    316
Adaleine    6
Adalen  12
Adalena 183
Adalene 1997
Adaley  85
Adalhi  8
Adali   319
Adalia  1891
Adaliah 57
Adalicia    10
Adalid  11
Adalida 42
Adalie  670
Adaliene    6
Adalin  151
Adalina 591
Adalinda    13
Adaline 23803
Adalinn 6
Adalis  185
Adalisa 9
Adalise 25
Adaliz  229
Adallyn 6
Adaly   349
Adalya  10
Adalye  5
Adalyn  7386
Adalyna 25
Adalyne 199
Adalynn 4286
Adalynne    236
Adalys  25
Adam    3789
Adama   523
Adamae  451
Adamari 1631
Adamarie    107
Adamaris    2690
Adamariz    197
Adamary 611
Adamarys    209
Adamina 12
Adamma  12
Adan    94
Adana   488
Adaneli 11
Adanelly    29
Adanely 92
Adanna  461
Adannaya    5
Adanya  125
Adaobi  43
Adaora  141
Adar    28
Adara   1732
Adarah  26
Adaria  118
Adasha  119
Adashia 25
Adasia  268
Adason  5
Adassa  18
Adasyn  120
Adaugo  39
Adavia  5
Adaya   496
Adayah  107
Adayla  31
Adaysha 75
Adayshia    26
Adaysia 27
Adda    15110
Addah   35
Addalee 74
Addaleigh   19
Addaley 15
Addalie 49
Addalina    5
Addaline    40
Addalyn 726
Addalyne    15
Addalynn    354
Addalynne   22
Addasyn 75
Addelin 18
Addelina    5
Addeline    202
Addell  89
Addelyn 754
Addelyne    5
Addelynn    206
Addelynne   12
Addeson 11
Addesyn 19
Addey   13
Addi    321
Addia   33
Addicyn 25
Addie   148013
Addielynn   6
Addiemae    35
Addieson    5
Addilee 65
Addileigh   18
Addiley 10
Addilyn 1589
Addilyne    11
Addilynn    649
Addilynne   19
Addine  126
Addington   5
Addis   753
Addisan 16
Addisen 928
Addisin 19
Addison 75583
Addisson    77
Addiston    5
Addisun 7
Addisyn 5295
Addisynn    98
Addle   30
Addlee  5
Addley  58
Addlie  6
Addriana    6
Addrianna   21
Addrienne   30
Addsion 5
Addy    1204
Addylan 6
Addylin 21
Addylyn 10
Addylynn    5
Addysan 48
Addysen 797
Addysin 75
Addysn  6
Addyson 10764
Addysun 13
Addysyn 78
Ade 6
Adea    88
Adean   549
Adeana  409
Adeanna 11
Adebisi 16
Adebola 48
Adedoyin    15
Adee    6
Adeeba  15
Adeena  373
Adeja   157
Adejah  35
Adekemi 7
Adel    6715
Adela   44379
Adelade 34
Adelae  92
Adelai  107
Adelaid 27
Adelaida    9390
Adelaide    80084
Adelaina    6
Adelaine    491
Adelane 5
Adelay  14
Adelayda    15
Adelayde    22
Adelayne    6
Adele   107332
Adelean 34
Adelee  86
Adelei  59
Adeleigh    60
Adeleine    150
Adelena 257
Adelene 6007
Adeley  8
Adelfa  1853
Adelfina    38
Adelheid    326
Adeli   46
Adelia  33785
Adelice 5
Adelicia    50
Adelie  244
Adelin  253
Adelina 28454
Adelinah    5
Adelind 6
Adeline 112182
Adelis  50
Adelisa 146
Adelise 54
Adelita 4560
Adeliz  72
Adell   32860
Adella  32135
Adelle  20915
Adellia 5
Adellyn 31
Adellynn    6
Adelma  797
Adelmira    144
Adelphia    62
Adely   84
Adelyn  9011
Adelyna 37
Adelyne 1253
Adelynn 2904
Adelynne    262
Adelys  6
Aden    542
Adena   4395
Adene   251
Adenike 374
Adeola  432
Ader    3348
Adera   7
Aderinsola  5
Adero   10
Aderonke    48
Aderyn  30
Adesha  8
Adesina 11
Adesola 21
Adessa  334
Adesuwa 122
Adetokunbo  10
Adeva   8
Adeyinka    10
Adgie   38
Adhira  22
Adhithi 20
Adhley  12
Adhya   134
Adi 838
Adia    3300
Adiah   129
Adiam   19
Adiana  290
Adianez 71
Adianna 194
Adiba   91
Adie    690
Adiel   76
Adiela  7
Adiella 28
Adielle 5
Adijah  9
Adila   20
Adilah  53
Adilee  104
Adilen  51
Adilena 6
Adilene 5219
Adileni 46
Adilenne    143
Adileny 36
Adiley  5
Adilia  43
Adiline 5
Adilyn  826
Adilyne 23
Adilynn 695
Adilynne    53
Adin    87
Adina   11614
Adinah  54
Adine   1569
Adira   316
Adis    75
Adisa   97
Adisen  167
Adison  2858
Adisson 78
Adisyn  851
Adisynn 48
Adisynne    50
Adithi  268
Aditi   2725
Aditri  75
Aditya  6
Adiva   92
Adiya   107
Adiyah  33
Adja    148
Adji    6
Adjoa   108
Adjua   8
Adlai   46
Adlea   5
Adlean  815
Adlee   558
Adlei   7
Adleigh 363
Adlemi  17
Adlen   12
Adlena  516
Adlene  1246
Adler   94
Adley   788
Adlie   15
Adlih   21
Adlin   47
Adlina  6
Adline  12995
Adly    13
Adlyn   209
Adlynn  34
Admire  35
Adn 5
Adna    768
Adnrea  10
Adolfo  19
Adoline 61
Adolph  119
Adolpha 33
Adolphine   229
Adona   64
Adonai  130
Adoncia 5
Adonia  495
Adoniah 7
Adonica 1027
Adonijah    31
Adonis  123
Adonna  2138
Adonya  15
Adora   2987
Adorabella  14
Adorah  10
Adore   73
Adoree  73
Adoria  171
Adorn   21
Adra    2850
Adrain  1535
Adraine 651
Adrainne    37
Adraya  11
Adrea   1465
Adream  42
Adrean  884
